date,IRS,Bitcoin,isPartial
2019-04-29,29,31,False
2019-04-30,29,33,False
2019-05-01,29,33,False
2019-05-02,25,37,False
2019-05-03,24,41,False
2019-05-04,12,37,False
2019-05-05,10,37,False
2019-05-06,28,37,False
2019-05-07,29,45,False
2019-05-08,26,46,False
2019-05-09,25,51,False
2019-05-10,22,51,False
2019-05-11,12,72,False
2019-05-12,9,72,False
2019-05-13,25,85,False
2019-05-14,25,100,False
2019-05-15,24,75,False
2019-05-16,23,73,False
2019-05-17,22,77,False
2019-05-18,10,54,False
2019-05-19,10,64,False
